Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1742857231quid (%),Pump Intake Pressure (psi (g)),
East Arta\E-Arta-22.077,01/02/17 - 10:09,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,135,127,91,51.8,
East Arta\E-Arta-22.078,01/12/17 - 09:52,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,46,46,100,19.8,
East Arta\E-Arta-22.079,01/16/17 - 08:58,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,126,126,100,51.3,
East Arta\E-Arta-22.080,01/22/17 - 09:18,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,155,152,97,61.9,
East Arta\E-Arta-22.081,02/06/17 - 10:31,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,131,129,98,52.5,
East Arta\E-Arta-22.082,02/13/17 - 09:35,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,82,82,100,34.2,
East Arta\E-Arta-22.083,02/20/17 - 09:20,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,103,103,100,42.0,
East Arta\E-Arta-22.084,02/27/17 - 09:10,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,52,52,100,22.1,
East Arta\E-Arta-22.085,03/06/17 - 08:49,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,127,127,100,51.8,
East Arta\E-Arta-22.086,03/20/17 - 08:53,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,122,122,100,49.6,
East Arta\E-Arta-22.087,03/27/17 - 08:47,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,171,171,100,69.1,
East Arta\E-Arta-22.088,04/03/17 - 09:25,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,179,172,94,68.5,
East Arta\E-Arta-22.089,04/10/17 - 09:08,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,78,78,100,32.7,
East Arta\E-Arta-22.090,04/27/17 - 09:57,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,179,179,100,71.9,
East Arta\E-Arta-22.091,05/01/17 - 08:37,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,138,138,100,55.9,
East Arta\E-Arta-22.092,05/08/17 - 09:00,E-Arta-22,3.500,1.250,4117.00,4117.00,0.04123,0.04123,4066.00,4066.00,X,20,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1238,1238,100,485.2,
