Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 716680292quid (%),Pump Intake Pressure (psi (g)),
Arta\Arta-2.115,03/12/17 - 09:01,Arta-2,3.500,1.250,2881.00,2881.00,0.01,0.01,2948.00,2948.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,113,78,69,31.7,
Arta\Arta-2.116,05/14/17 - 08:39,Arta-2,3.500,1.250,2881.00,2881.00,0.01,0.01,2948.00,2948.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,116,81,70,34.0,
Arta\Arta-2.117,06/11/17 - 08:34,Arta-2,3.500,1.250,2881.00,2881.00,0.01,0.01,2948.00,2948.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,102,69,68,35.8,
Arta\Arta-2.118,07/30/17 - 08:57,Arta-2,3.500,1.250,2881.00,2881.00,0.01,0.01,2948.00,2948.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,112,76,68,31.3,
Arta\Arta-2.119,08/18/17 - 09:31,Arta-2,3.500,1.250,2881.00,2881.00,0.01,0.01,2948.00,2948.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1028,757,74,302.4,
Arta\Arta-2.120,09/03/17 - 08:31,Arta-2,3.500,1.250,2881.00,2881.00,0.01,0.01,2948.00,2948.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,137,97,70,45.6,
Arta\Arta-2.121,09/17/17 - 09:56,Arta-2,3.500,1.250,2881.00,2881.00,0.01,0.01,2948.00,2948.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,113,83,73,39.3,
Arta\Arta-2.122,10/01/17 - 09:15,Arta-2,3.500,1.250,2881.00,2881.00,0.01,0.01,2948.00,2948.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,108,72,66,29.9,
Arta\Arta-2.123,11/19/17 - 11:30,Arta-2,3.500,1.250,2881.00,2881.00,0.01,0.01,2948.00,2948.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,138,96,70,46.7,
Arta\Arta-2.124,12/24/17 - 09:03,Arta-2,3.500,1.250,2881.00,2881.00,0.01,0.01,2948.00,2948.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,134,92,69,49.4,
