Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-1040455237quid (%),Pump Intake Pressure (psi (g)),
East Arta\E-Arta-21.174,08/01/16 - 08:39,E-Arta-21,3.500,2.750,4148.00,4148.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1646,1639,100,638.9,
East Arta\E-Arta-21.175,08/09/16 - 15:06,E-Arta-21,3.500,2.750,4148.00,4148.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1543,1543,100,601.4,
East Arta\E-Arta-21.176,08/09/16 - 15:10,E-Arta-21,3.500,2.750,4148.00,4148.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,168.000,X,08/09/16 - 15:19,23478,4841,7428,-1767,33.2,161.4,8.738,98.35,158.7,1223.0,1766.8,X,0,14133,10763,16237,11210,1476,1476,100,575.2,
East Arta\E-Arta-21.177,08/10/16 - 09:18,E-Arta-21,3.500,2.750,4148.00,4148.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1707,1529,89,597.5,
East Arta\E-Arta-21.178,08/10/16 - 09:40,E-Arta-21,3.500,2.750,4148.00,4148.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,168.000,X,08/10/16 - 09:40,25147,5010,8679,-913,35.8,158.4,8.696,97.39,154.2,1182.7,913.0,X,0,17568,10763,12134,11210,X,X,X,X,
East Arta\E-Arta-21.179,08/13/16 - 15:50,E-Arta-21,3.500,2.750,4148.00,4148.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,168.000,X,08/13/16 - 16:01,26247,4248,9841,-820,36.3,153.2,8.696,88.56,135.7,1040.5,819.6,X,0,18655,10763,18717,11210,839,808,96,315.3,
East Arta\E-Arta-21.180,08/15/16 - 08:16,E-Arta-21,3.500,2.750,4148.00,4148.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,743,676,91,264.1,
East Arta\E-Arta-21.181,08/22/16 - 09:37,E-Arta-21,3.500,2.750,4135.00,4135.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,144.000,X,08/22/16 - 09:37,28745,5068,13088,-324,36.8,129.3,8.612,95.04,122.9,933.3,323.7,X,0,20418,10411,13060,11175,702,692,99,271.9,
East Arta\E-Arta-21.182,08/29/16 - 08:38,E-Arta-21,3.500,2.750,4135.00,4135.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,144.000,X,08/29/16 - 08:49,29101,4823,12937,-76,35.0,127.2,8.571,91.98,117.0,884.2,75.6,X,29,20372,10411,12026,11175,562,450,79,176.0,
East Arta\E-Arta-21.183,09/05/16 - 09:06,E-Arta-21,3.500,2.750,4135.00,4135.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,480,394,82,154.8,
