Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1343664010quid (%),Pump Intake Pressure (psi (g)),
AGHAR FIELD\AG 4- 19.004,09/29/12 - 10:54,AG 4-19,3.500,1.750,5700.00,5700.00,0.05775,0.05775,5660.00,5660.00,X,40,1.05,X,640000,111.851,62,09/29/12 - 10:54,26992,11073,12546,-22,13.9,97.5,5.248,79.90,77.9,146.1,21.9,1344744.5,40,23966,13131,20456,6238,X,X,X,X,
AG 4-19,09/29/12 - 16:27,AG 4-19,3.500,1.750,5660.00,5660.00,0.05775,0.05775,5660.00,5660.00,X,40,1.05,X,640000,111.851,62,09/29/12 - 16:37,18389,9832,4001,-2379,7.0,106.3,5.294,52.79,56.1,106.1,2378.6,321658.0,46,14986,13054,13715,6194,X,X,X,X,
AG 4-19,01/01/13 - 07:58,AG 4-19,3.500,1.750,5661.00,5661.00,0.05775,0.05775,5660.00,5660.00,X,40,1.05,X,640000,111.851,62,01/01/13 - 08:24,23446,7458,9304,-4221,13.5,94.0,5.438,96.87,91.1,176.9,4221.4,530940.8,44,19315,13054,11927,6195,116,116,100,42.1,
AG 4-19,04/17/13 - 09:48,AG 4-19,3.500,1.750,5661.00,5661.00,0.05775,0.05775,5660.00,5660.00,X,40,1.05,X,640000,111.851,62,04/17/13 - 10:00,25042,7655,10348,-4106,15.0,99.1,5.471,41.48,41.1,80.3,4105.6,501512.2,54,19534,13054,12685,6195,85,85,100,34.6,
AGHAR FIELD\AG 4- 19.008,08/24/13 - 08:34,AG 4-19,3.500,1.750,5661.00,5661.00,0.05775,0.05775,5660.00,5660.00,X,40,1.05,X,640000,111.851,62,08/24/13 - 08:53,24408,7893,10313,-4177,14.8,96.4,5.357,98.82,95.2,182.1,4177.4,517024.8,0,20007,13054,11986,6195,80,75,93,31.5,
AG 4-19,04/16/14 - 11:46,AG 4-19,3.500,1.750,5661.00,5661.00,0.05775,0.05775,5660.00,5660.00,X,40,1.05,X,640000,111.851,62,04/16/14 - 11:46,25137,6978,10795,-4817,15.9,98.6,5.248,44.48,43.8,82.2,4817.3,560415.8,46,19255,13054,12103,6195,X,X,X,X,
AG 4-11,09/23/11 - 08:23,AG 4-11,3.500,2.000,5668.00,5668.00,0.05334,0.05334,5668.00,5668.00,X,15,1.03,X,640000,93.805,62,09/23/11 - 08:39,21895,9462,5711,-1503,9.9,82.2,7.377,99.91,82.1,282.6,1503.0,292859.5,77,16154,14199,13001,8102,213,213,100,87.5,
AG 4-11,05/07/12 - 10:26,AG 4-11,3.500,1.750,5668.00,5668.00,0.05334,0.05334,5668.00,5668.00,X,15,1.03,X,640000,100.452,62,05/07/12 - 10:26,24379,10511,6969,-2705,6.5,88.2,7.531,31.48,27.8,74.7,2704.5,284090.5,46,19138,14199,13647,6203,89,63,70,28.2,
AG 4-11,07/18/12 - 08:48,AG 4-11,3.500,1.750,5668.00,5668.00,0.05334,0.05334,5668.00,5668.00,X,15,1.03,X,640000,100.452,62,07/18/12 - 08:48,22806,9806,6331,-2034,9.2,80.9,5.882,87.19,70.5,148.1,2033.5,370825.1,45,19274,14199,13152,6203,139,139,100,56.7,
AG 4-11,09/26/12 - 06:25,AG 4-11,3.500,1.750,5668.00,5668.00,0.05334,0.05334,5668.00,5668.00,X,15,1.03,X,640000,100.452,62,09/26/12 - 06:44,19985,12338,4183,-190,5.4,93.1,5.882,78.31,72.9,153.1,190.3,191744.1,50,16123,14199,14934,6203,85,85,100,37.5,
AG 4-11,01/01/13 - 08:50,AG 4-11,3.500,1.750,5668.00,5668.00,0.05334,0.05334,5668.00,5668.00,X,15,1.03,X,640000,100.452,62,01/01/13 - 09:11,27816,10076,11397,-2253,9.3,69.6,6.000,57.70,40.2,86.1,2253.1,424392.5,51,24068,14199,14239,6203,64,52,81,24.3,
AG 4-11,12/29/13 - 09:37,AG 4-11,3.500,1.750,5668.00,5668.00,0.05334,0.05334,5668.00,5668.00,X,15,1.03,X,640000,100.452,62,12/29/13 - 09:47,21518,11036,6318,-2055,6.9,79.9,6.020,61.64,49.3,105.9,2054.9,265179.3,57,19179,14199,13262,6203,X,X,X,X,
AG 4-11,12/29/13 - 14:34,AG 4-11,3.500,1.750,5668.00,5668.00,0.05334,0.05334,5668.00,5668.00,X,15,1.03,X,640000,100.452,62,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,35,35,100,15.9,
