Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 216223759quid (%),Pump Intake Pressure (psi (g)),
Hana\Hana-10.030,03/13/13 - 08:57,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2345,2173,92,800.5,
Hana\Hana-10.031,03/16/13 - 15:04,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1485,1485,100,549.8,
Hana\Hana-10.032,03/20/13 - 08:20,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1461,1460,100,540.1,
Hana\Hana-10.033,03/30/13 - 07:08,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1487,1316,88,490.0,
Hana\Hana-10.034,04/03/13 - 10:53,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1485,1438,97,534.4,
Hana\Hana-10.035,04/06/13 - 09:19,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1494,1494,100,555.8,
Hana\Hana-10.036,04/10/13 - 07:58,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1506,1266,83,471.2,
Hana\Hana-10.037,04/13/13 - 08:18,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1506,1506,100,559.1,
Hana\Hana-10.038,04/20/13 - 14:36,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1500,1500,100,556.1,
Hana\Hana-10.039,04/24/13 - 14:13,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1662,1662,100,617.1,
