Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-797585780quid (%),Pump Intake Pressure (psi (g)),
Hana\Hana-11.309,11/15/18 - 14:19,Hana-11,3.500,2.250,4286.00,4286.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,1.28e+006,168.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Hana\Hana-11.310,11/15/18 - 14:23,Hana-11,3.500,2.250,4286.00,4286.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,1.28e+006,168.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Hana\Hana-11.311,11/16/18 - 08:05,Hana-11,3.500,2.250,4286.00,4286.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,1.28e+006,168.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Hana\Hana-11.312,11/17/18 - 13:28,Hana-11,3.500,2.250,4286.00,4286.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,1.28e+006,168.000,75,11/17/18 - 13:35,21608,10393,4866,-977,16.4,161.3,6.383,96.40,155.5,585.8,977.1,1706871.7,0,13544,13040,8873,7754,1287,1287,100,486.8,
Hana\Hana-11.313,11/26/18 - 11:18,Hana-11,3.500,2.250,4286.00,4286.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,1.28e+006,168.000,75,11/26/18 - 11:27,21131,8830,4063,-1825,14.3,166.1,6.383,97.75,162.4,611.9,1825.0,1628589.8,0,16448,13040,8397,7754,1261,1261,100,477.0,
Hana\Hana-11.314,12/19/18 - 11:47,Hana-11,3.500,2.250,4286.00,4286.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,1.28e+006,168.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1085,1085,100,411.5,
Hana\Hana-11.315,01/01/19 - 14:02,Hana-11,3.500,2.250,4286.00,4286.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,1.28e+006,168.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1083,1083,100,410.8,
Hana\Hana-15.012,10/18/18 - 11:06,Hana-15,X,X,X,X,0.05,0.05,4837.00,4837.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4340,4340,100,X,
Hana\Hana-16   (3).001,01/13/18 - 15:51,Hana-16   (3),3.500,2.750,4879.00,4879.00,0.04879,0.04879,4866.50,4866.50,X,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2233,2233,100,834.2,
Hana\Hana-16   (3).002,01/20/18 - 09:44,Hana-16   (3),3.500,2.750,4879.00,4879.00,0.04879,0.04879,4866.50,4866.50,X,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2271,2271,100,848.1,
Hana\Hana-16   (3).003,01/27/18 - 09:31,Hana-16   (3),3.500,2.750,4879.00,4879.00,0.04879,0.04879,4866.50,4866.50,X,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,1.4,
Hana\Hana-16   (3).004,02/03/18 - 14:51,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2047,1893,92,709.4,
Hana\Hana-16   (3).005,02/17/18 - 10:27,Hana-16   (3),3.500,2.750,4904.00,4904.00,0.04879,0.04879,4866.50,4866.50,45.0,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1944,1885,97,706.2,
