Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1343664010quid (%),Pump Intake Pressure (psi (g)),
Hana-West\Hana-W-10 new.168,02/24/18 - 08:36,Hana-W-10 new,3.500,3.750,3504.00,3504.00,0.05008,0.05008,6195.00,6195.00,140.0,23.8,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2431,2431,100,922.7,
Hana-West\Hana-W-10 new.169,02/25/18 - 13:25,Hana-W-10 new,3.500,3.750,3504.00,3504.00,0.05008,0.05008,6195.00,6195.00,140.0,23.8,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2492,2492,100,945.6,
Hana-West\Hana-W-10 new.170,02/27/18 - 09:47,Hana-W-10 new,3.500,3.750,3504.00,3504.00,0.05008,0.05008,6195.00,6195.00,140.0,23.8,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2596,2596,100,986.5,
Hana-West\Hana-W-10 new.171,02/28/18 - 13:59,Hana-W-10 new,3.500,3.750,3504.00,3504.00,0.05008,0.05008,6195.00,6195.00,140.0,23.8,1.05,X,X,144.000,X,02/28/18 - 13:59,13695,6403,3520,-879,5.6,151.4,5.788,100.00,151.4,1437.0,879.3,X,23,7451,9083,6092,19002,2621,2621,100,986.0,
Hana-West\Hana-W-10 new.172,02/28/18 - 14:08,Hana-W-10 new,3.500,3.750,3504.00,3504.00,0.05008,0.05008,6195.00,6195.00,140.0,23.8,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2623,2623,100,986.6,
Hana-West\Hana-W-10 new.173,02/28/18 - 14:11,Hana-W-10 new,3.500,3.750,3504.00,3504.00,0.05008,0.05008,6195.00,6195.00,140.0,23.8,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2624,2624,100,997.1,
Hana-West\Hana-W-10 new.174,03/04/18 - 15:54,Hana-W-10 new,3.500,3.750,3504.00,3504.00,0.05008,0.05008,6195.00,6195.00,140.0,23.8,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2787,2787,100,1057.7,
Hana-West\Hana-W-10 new.175,03/10/18 - 10:33,Hana-W-10 new,3.500,3.750,3504.00,3504.00,0.05008,0.05008,6195.00,6195.00,140.0,23.8,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2822,2822,100,1073.7,
Hana-West\Hana-W-10 new.176,03/15/18 - 07:48,Hana-W-10 new,3.500,3.750,3504.00,3504.00,0.05008,0.05008,6195.00,6195.00,140.0,23.8,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2850,2850,100,1084.3,
Hana-West\Hana-W-10 new.177,03/22/18 - 15:23,Hana-W-10 new,3.500,3.750,2986.00,2986.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,X,03/22/18 - 15:39,18870,4739,9923,-888,16.3,139.9,5.521,99.65,139.4,1262.1,888.4,X,16,168,7734,-5159,14895,2076,2076,100,794.5,
Hana-West\Hana-W-10 new.178,03/24/18 - 16:08,Hana-W-10 new,3.500,3.750,2986.00,2986.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1925,1925,100,737.0,
Hana-West\Hana-W-10 new.179,03/29/18 - 16:22,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Hana-West\Hana-W-10 new.180,03/29/18 - 16:58,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Hana-West\Hana-W-10 new.181,03/29/18 - 17:00,Hana-W-10 new,3.500,3.750,2962.00,2962.00,0.05008,0.05008,6195.00,6195.00,0.0,23.8,1.05,X,X,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
