Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 762406135quid (%),Pump Intake Pressure (psi (g)),
EPC\203.002,03/09/09 - 09:01,X,2.875,2.250,1925.00,1565.53,0.05,0.05,1952.00,1581.50,X,24,1.05,X,114000,64.000,X,03/09/09 - 09:55,6644,2625,3164,-507,2.3,60.4,6.923,18.27,11.0,45.1,507.4,61605.9,0,4882,3070,3606,2473,84,49,58,41.0,
EPC\21.002,08/14/09 - 09:25,X,3.500,2.250,2096.46,2096.46,0.05,0.05,2427.82,2427.82,X,20,1.05,X,114000,40.296,X,08/14/09 - 10:14,8033,2697,3218,-544,2.9,36.1,8.451,88.30,31.9,159.0,544.2,85523.2,0,7113,4071,3728,3462,273,273,100,236.0,
EPC\210.001,03/13/09 - 16:01,X,2.500,2.750,2237.70,2027.57,0.05,0.05,2485.00,2247.37,X,20,1.05,X,114000,52.148,X,03/13/09 - 16:55,8481,2419,4053,-1129,2.6,49.0,4.545,96.59,47.3,189.7,1129.0,82890.6,0,7338,3881,3584,5480,488,488,100,192.4,
EPC\22.001,12/27/05 - 10:32,X,2.875,1.750,2857.61,2565.31,0.05,0.05,2857.61,2565.31,X,20,1.05,X,114000,52.148,X,12/27/05 - 10:40,9661,2864,3014,-780,4.8,49.6,9.677,98.86,49.1,169.6,780.1,104478.9,0,7423,4913,4920,2807,872,299,34,159.7,
EPC\22.002,08/10/08 - 18:10,X,2.875,1.750,2857.61,2565.31,0.05,0.05,2819.88,2531.90,X,20,1.05,X,114000,52.148,X,08/10/08 - 18:50,9060,3111,2937,-864,4.3,50.5,8.654,97.22,49.1,151.8,864.4,109760.9,0,6904,4991,5365,2517,1160,673,57,298.0,
EPC\22.004,12/27/05 - 10:32,X,2.875,1.750,2857.61,2565.31,0.05,0.05,2857.61,2565.31,X,20,1.05,X,114000,52.148,X,12/27/05 - 10:40,9661,2864,3014,-780,4.8,49.6,9.677,98.86,49.1,169.6,780.1,104478.9,0,7423,4913,4920,2807,872,299,34,159.7,
EPC\220.001,08/14/08 - 16:15,X,3.500,2.750,1805.00,1805.00,0.05,0.05,2139.00,2139.00,X,20,1.05,X,114000,52.000,X,08/14/08 - 16:39,6945,2782,2719,41,2.6,49.6,10.405,50.62,25.1,230.3,40.6,82547.2,0,5494,3458,3825,4878,777,441,57,257.6,
EPC\220.002,03/14/09 - 10:14,X,3.500,2.750,1805.00,1805.00,0.05,0.05,2200.00,2200.00,X,20,1.05,X,114000,52.000,X,03/14/09 - 10:40,7108,2670,2725,-4,2.7,49.6,10.345,53.80,26.7,243.2,4.1,69713.1,0,5423,3458,3837,4878,736,315,43,210.7,
EPC\221.001,08/14/08 - 16:56,X,3.500,2.750,2162.00,2010.68,0.05,0.05,2410.60,2236.90,X,20,1.05,X,114000,40.000,X,08/14/08 - 17:15,8048,3010,3965,-417,1.7,36.1,6.250,67.75,24.5,134.9,417.3,71986.5,0,7216,3852,3670,5434,578,376,65,229.6,
EPC\222.001,08/14/08 - 17:31,X,3.500,3.500,2211.29,1979.08,0.05,0.05,2542.00,2262.50,X,20,1.05,X,114000,40.000,X,08/14/08 - 17:59,9813,2777,6065,-942,2.6,32.8,5.625,74.86,24.5,197.2,942.2,71685.5,0,9410,3792,2913,8664,518,334,64,211.4,
EPC\223.001,08/14/08 - 18:19,X,3.500,2.750,2470.47,2138.27,0.05,0.05,2670.75,2297.13,X,20,1.05,X,114000,52.000,X,08/14/08 - 18:28,8622,2865,4541,-595,2.9,46.6,8.696,17.42,8.1,62.2,595.1,56343.0,0,8236,4097,4102,5779,X,X,X,X,
EPC\223.002,03/14/09 - 11:23,X,3.500,2.750,2470.47,2029.89,0.05,0.05,2670.75,2187.18,X,20,1.05,X,114000,52.000,X,03/14/09 - 12:01,9957,2449,5799,-587,3.2,46.4,8.738,26.69,12.4,95.4,587.0,80354.1,0,9579,3889,3874,5486,64,40,63,97.4,
EPC\224.001,08/14/08 - 18:59,X,3.500,2.750,2178.48,1893.70,0.05,0.05,2503.50,2149.91,X,20,1.05,X,114000,40.000,X,08/14/08 - 19:10,8900,1941,4626,-719,4.3,35.4,9.626,93.11,33.0,280.1,719.2,73311.5,0,7378,3628,3083,5118,X,X,X,X,
EPC\224.002,03/14/09 - 11:12,X,3.500,2.750,2178.48,1881.50,0.05,0.05,2503.50,2116.90,X,20,1.05,X,114000,52.148,X,03/14/09 - 12:33,8405,2125,4049,-634,3.6,48.3,6.452,96.38,46.5,264.8,634.4,79593.1,0,7157,3613,3698,5085,673,639,95,330.4,
EPC\23.003,12/27/05 - 11:23,X,3.500,2.750,2939.63,2939.63,0.01,0.01,2939.63,2939.63,X,20,1.05,X,114000,44.000,X,12/27/05 - 11:25,11730,2975,5419,-1704,5.1,36.4,9.474,85.93,31.2,261.0,1703.6,138227.5,0,10462,5632,4238,7944,553,339,61,175.5,
EPC\23.004,08/10/08 - 17:21,X,3.500,2.750,3182.41,3182.41,0.01,0.01,3182.41,3182.41,X,20,1.05,X,114000,44.000,X,08/10/08 - 17:44,11797,3019,4948,-2408,5.4,35.5,9.730,87.41,31.0,266.3,2407.8,109764.8,0,9728,6188,4092,7767,993,690,70,306.1,
EPC\23.007,12/27/05 - 11:23,X,3.500,2.750,2939.63,2939.63,0.01,0.01,2939.63,2939.63,X,20,1.05,X,114000,44.000,X,12/27/05 - 11:25,11730,2975,5419,-1704,5.1,36.4,9.474,85.93,31.2,261.0,1703.6,138227.5,0,10462,5632,4238,7944,553,339,61,175.5,
EPC\24.001,08/11/08 - 18:01,X,3.500,1.750,2641.08,2197.25,0.05,0.05,864.00,839.52,X,20,1.05,X,114000,64.000,X,08/11/08 - 18:07,7591,3504,2558,-385,1.7,65.6,6.383,17.35,11.4,25.9,384.9,89534.5,0,6406,4276,4289,2405,X,X,X,X,
EPC\24.002,08/14/09 - 10:31,X,3.500,1.750,2641.08,2196.90,0.05,0.05,2641.08,2196.90,X,20,1.05,X,114000,64.000,X,08/14/09 - 11:00,7402,3481,2676,-237,1.4,61.7,5.980,19.12,11.8,25.2,237.1,59118.4,0,6567,4209,4565,2404,88,85,96,75.0,
EPC\243.001,12/13/09 - 09:45,X,2.875,2.000,5200.00,5200.00,0.05,0.05,7200.00,7200.00,X,23,0.8,X,912000,168.000,X,12/13/09 - 10:16,17737,6849,4516,-996,14.5,153.5,6.081,96.73,148.5,4
